Pfam domain	# of occurrences	Pfam domain Name
PF18141	1	rna helicase upf1, 1b domain
PF09416	1	rna helicase (upf2 interacting domain)
PF13558	1	putative exonuclease sbccd, c subunit
PF13476	1	aaa domain
PF07722	1	peptidase c26
PF11935	1	symplekin/pta1 n-terminal
PF18307	1	transcription factor tfb2 (p52) c-terminal domain
PF07711	1	rab geranylgeranyl transferase alpha-subunit, insert domain 
PF18266	1	nicastrin small lobe
PF03126	1	plus-3 domain
PF03959	1	serine hydrolase (fsh1)
PF16687	1	beta-propeller of elys nucleoporin
PF08216	1	catenin-beta-like, arm-motif containing nuclear
PF18383	1	intraflagellar transport 81 calponin homology domain
PF08768	1	thap4-like, heme-binding beta-barrel domain
PF09631	1	sen15 protein
PF16740	1	spindle and kinetochore-associated protein 2
PF16565	1	phospholipase d-like domain at c-terminus of mit
PF08746	1	ring-like domain
PF13279	1	thioesterase-like superfamily
PF02594	1	uncharacterised acr, yggu family cog1872
PF09732	1	cactus-binding c-terminus of cactin protein
PF16543	1	drg family regulatory proteins, tma46
PF18267	1	rubredoxin nad+ reductase c-terminal domain
PF08123	1	histone methylation protein dot1 
PF04108	1	autophagy protein atg17-like domain 
PF04909	1	amidohydrolase
PF10243	1	microtubule-binding protein mip-t3 ch-like domain
PF08147	1	dbp10ct (nuc160) domain
PF03726	1	polyribonucleotide nucleotidyltransferase, rna binding domain
PF08320	1	pig-x / pbn1
PF08825	1	e2 binding domain
PF19433	1	neuron-derived neurotrophic factor c-terminal
PF15966	1	f-box
PF15627	1	cep76 c2 domain
PF15505	1	domain of unknown function (duf4648)
PF04192	1	utp21 specific wd40 associated putative domain 
PF18210	1	knl1 rwd c-terminal domain
PF13538	1	uvrd-like helicase c-terminal domain
PF13361	1	uvrd-like helicase c-terminal domain
PF13245	1	aaa domain
PF05172	1	nup53/35/40-type rna recognition motif
PF16692	1	folliculin c-terminal domain
PF10442	1	fist c domain
PF05199	1	gmc oxidoreductase
PF00732	1	gmc oxidoreductase
PF18295	1	m17 aminopeptidase n-terminal domain 2
PF02778	1	trna intron endonuclease, n-terminal domain
PF12346	1	holliday junction recognition protein-associated repeat
PF18464	1	proprotein convertase subtilisin-like/kexin type 9 c-terminal domain
PF18463	1	proprotein convertase subtilisin-like/kexin type 9 c-terminal domain
PF18459	1	proprotein convertase subtilisin-like/kexin type 9 c-terminal domain
PF05922	1	peptidase inhibitor i9
PF12871	1	pre-mrna-splicing factor 38-associated hydrophilic c-term
PF14740	1	domain of unknown function (duf4471)
PF18017	1	sam domain (sterile alpha motif)
PF01927	1	mut7-c rnase domain
PF13821	1	domain of unknown function (duf4187)
PF04493	1	endonuclease v
PF07774	1	er membrane protein complex subunit 1, c-terminal
PF14542	1	gcn5-related n-acetyl-transferase
PF14658	1	ef-hand domain
PF17221	1	commd1 n-terminal domain
PF18084	1	artd15 n-terminal domain
PF10501	1	ribosomal subunit 39s
PF16921	1	tex protein yqgf-like domain
PF09371	1	tex-like protein n-terminal domain
PF07776	1	zinc-finger associated domain (zf-ad)  
PF13661	1	2og-fe(ii) oxygenase superfamily
PF10637	1	oxoglutarate and iron-dependent oxygenase degradation c-term
PF09060	1	l27_n
PF12816	1	golgi corvet complex core vacuolar protein 8
PF14788	1	ef hand
PF15630	1	cenp-s protein
PF14538	1	raptor n-terminal caspase like domain
PF16669	1	tetratricopeptide repeat protein 5 ob fold domain
PF18334	1	exoribonuclease xrn1 d2/d3 domain
PF18332	1	exoribonuclease xrn1 d1 domain
PF18129	1	xrn1 sh3-like domain
PF16706	1	izumo-like immunoglobulin domain
PF16528	1	exocyst component 84 c-terminal
PF16783	1	fancm to mhf binding domain
PF18147	1	suv3 c-terminal domain 1
PF18114	1	suv3 helical n-terminal domain
PF17877	1	dis3-like exonuclease 2 c terminal
PF09494	1	slx4 endonuclease
PF07780	1	spb1 c-terminal domain
PF01951	1	archease protein family (mth1598/tm1083)
PF18256	1	co-chaperone hscb tetracysteine metal binding motif
PF07743	1	hscb c-terminal oligomerisation domain
PF13660	1	domain of unknown function (duf4147)
PF03308	1	methylmalonyl co-a mutase-associated gtpase meab
PF13240	1	zinc-ribbon domain
PF17798	1	trif n-terminal domain
PF05026	1	dcp2, box a domain
PF01195	1	peptidyl-trna hydrolase
PF18738	1	dzip3/ hrul138-like hepn
PF11531	1	coactivator-associated arginine methyltransferase 1 n terminal
PF15490	1	telomere-capping, cst complex subunit
PF18461	1	atypical caspase recruitment domain
PF08600	1	rsm1-like
PF07967	1	c3hc zinc finger-like 
PF11605	1	vacuolar protein sorting protein 36 vps36
PF08590	1	domain of unknown function (duf1771)
PF15982	1	n-terminal cysteine-rich region of transmembrane protein 135
PF17763	1	glutaminase/asparaginase c-terminal domain
PF00710	1	asparaginase, n-terminal
PF08284	1	retroviral aspartyl protease
PF10406	1	transcription factor tfiid complex subunit 8 c-term 
PF12928	1	trna-splicing endonuclease subunit sen54 n-term
PF09814	1	hect-like ubiquitin-conjugating enzyme (e2)-binding
PF08783	1	dwnn domain
PF18049	1	dna polymerase nu pseudo-exo
PF14738	1	cilia- and flagella-associated protein 91
PF13023	1	hd domain
PF18437	1	nup54 c-terminal interacting domain
PF13874	1	nucleoporin complex subunit 54
PF12742	1	gryzun, putative golgi trafficking
PF18633	1	zinc-finger antiviral protein (zap) zinc finger domain 3
PF16278	1	c2he / c2h2 / c2hc zinc-binding finger
PF19284	1	arc ma domain
PF18162	1	arc c-lobe
PF13378	1	enolase c-terminal domain-like
PF02746	1	mandelate racemase / muconate lactonizing enzyme, n-terminal domain
PF09332	1	mcm10 replication factor
PF09329	1	primase zinc finger
PF18005	1	eif3 subunit m, c-terminal helix
PF14641	1	helix-turn-helix dna-binding domain of spt6
PF14639	1	holliday-junction resolvase-like of spt6 
PF14635	1	helix-hairpin-helix motif                       
PF14633	1	sh2 domain
PF11244	1	mediator complex subunit 25 c-terminal nr box-containing
PF11235	1	mediator complex subunit 25 synapsin 1
PF16656	1	purple acid phosphatase, n-terminal domain
PF14008	1	iron/zinc purple acid phosphatase-like protein c
PF18289	1	ccdc81 eukaryotic hu domain 2
PF14908	1	ccdc81 eukaryotic hu domain 1
PF15036	1	interleukin 34
PF14901	1	cleavage inducing molecular chaperone
PF17956	1	nicotinate phosphoribosyltransferase c-terminal domain
PF17767	1	nicotinate phosphoribosyltransferase (naprtase) n-terminal domain
PF13664	1	domain of unknown function (duf4149)
PF16531	1	centriolar protein sas n-terminal
PF12366	1	cancer susceptibility candidate 1 c-terminal 
PF14668	1	rapamycin-insensitive companion of mtor, domain 5
PF14666	1	rapamycin-insensitive companion of mtor, middle domain
PF14665	1	rapamycin-insensitive companion of mtor, phosphorylation-site
PF14664	1	rapamycin-insensitive companion of mtor, n-term
PF14663	1	rapamycin-insensitive companion of mtor rasgef_n domain
PF14874	1	flagellar-associated papd-like
PF17120	1	zinc-ribbon, c4hc2 type
PF02938	1	gad domain
PF00881	1	nitroreductase family
PF10571	1	uncharacterised protein family upf0547
PF14465	1	nfrkb winged helix-like
PF12134	1	prp8 domain iv core
PF10598	1	rna recognition motif of the spliceosomal prp8
PF10597	1	u5-snrna binding site 2 of prp8
PF10596	1	u6-snrna interacting domain of prp8
PF08084	1	proct (nuc072) domain
PF08083	1	procn (nuc071) domain
PF08082	1	pro8nt (nuc069), prp8 n-terminal domain
PF05705	1	eukaryotic protein of unknown function (duf829)
PF05179	1	rna pol ii accessory factor, cdc73 family, c-terminal
PF09133	1	santa (sant associated)
PF16113	1	enoyl-coa hydratase/isomerase
PF10170	1	cysteine-rich domain
PF11822	1	domain of unknown function (duf3342)
PF15028	1	pre-t-cell antigen receptor
PF13019	1	silencing defective 2 n-terminal ubiquitin domain
PF08032	1	rna 2'-o ribose methyltransferase substrate binding
PF18608	1	xiap-associated factor 1 c-terminal domain
PF10189	1	integrator complex subunit 3 n-terminal 
PF08243	1	spt2 chromatin protein
PF07786	1	heparan-alpha-glucosaminide n-acetyltransferase, catalytic
PF10505	1	nmda receptor-regulated gene protein 2 c-terminus
PF12014	1	cyclin d1 binding domain
PF19438	1	lin9 c-terminal
PF04418	1	domain of unknown function (duf543)
PF17172	1	glutathione s-transferase n-terminal domain 
PF17745	1	ydr279p protein triple barrel domain
PF09468	1	ydr279p protein family (rnase h2 complex component) whth domain
PF17773	1	upf0176 acylphosphatase like domain
PF13910	1	domain of unknown function (duf4209)
PF08427	1	domain of unknown function (duf1741)
PF01261	1	xylose isomerase-like tim barrel
PF05180	1	dnl zinc finger
PF10472	1	eif2-alpha phosphatase phosphorylation constitutive repressor
PF08161	1	nuc173 domain
PF19269	1	anticodon binding domain
PF15510	1	cenp-w protein
PF18101	1	pan3 pseudokinase domain
PF11781	1	zinc-finger of rna-polymerase i-specific tfiib, rrn7
PF13975	1	gag-polyprotein putative aspartyl protease
PF17778	1	beta-lactamase associated winged helix domain
PF19712	1	acylglycerol kinase c-terminal
PF17213	1	hydin adenylate kinase-like domain
PF12640	1	upf0489 domain
PF09446	1	vma21-like domain
PF18440	1	putative glcnac-1 phosphotransferase regulatory domain
PF09793	1	anticodon-binding domain
PF17875	1	rpa43 ob domain in rna pol i
PF17333	1	beta defensin 136
PF12813	1	xpg domain containing
PF19439	1	clec16a c-terminal
PF16748	1	inscuteable lgn-binding domain
PF18704	1	chromatin organization modifier domain 2
PF05995	1	cysteine dioxygenase type i
PF00574	1	clp protease
PF13506	1	glycosyl transferase family 21
PF05706	1	cyclin-dependent kinase inhibitor 3 (cdkn3)
PF09310	1	pou domain, class 2, associating factor 1
PF01491	1	frataxin-like domain
PF08564	1	cdc37 c terminal domain
PF03234	1	cdc37 n terminal kinase binding
PF03847	1	transcription initiation factor tfiid subunit a
PF16550	1	uch-binding domain
PF04683	1	proteasome complex subunit rpn13 ubiquitin receptor
PF16752	1	tubulin-specific chaperone c n-terminal domain
PF15152	1	kisspeptin
PF06221	1	putative zinc finger motif, c2hc5-type
PF04266	1	asch domain
PF10744	1	mediator of rna polymerase ii transcription subunit 1
PF16275	1	splicing factor 1 helix-hairpin domain
PF09034	1	tradd, n-terminal domain
PF16772	1	telomeric repeat-binding factor 2 rap1-binding motif
PF17911	1	ski2 n-terminal region
PF16835	1	pre-mrna-splicing factor sf3a complex subunit 2 (prp11)
PF02749	1	quinolinate phosphoribosyl transferase, n-terminal domain
PF01729	1	quinolinate phosphoribosyl transferase, c-terminal domain
PF18359	1	histone methyltransferase tudor domain 1
PF18358	1	histone methyltransferase tudor domain
PF18300	1	domain of unknown function (duf5604)
PF19533	1	rab3 gtpase-activating protein catalytic subunit c-terminal
PF12922	1	non-smc mitotic condensation complex subunit 1, n-term
PF15715	1	pcna-associated factor histone like domain
PF05022	1	srp40, c-terminal domain
PF17796	1	major vault protein repeat domain
PF17795	1	major vault protein repeat domain
PF11978	1	shoulder domain
PF09465	1	lamin-b receptor of tudor domain
PF10347	1	rna pol ii promoter fmp27 protein domain
PF18263	1	mcm6 c-terminal winged-helix domain
PF08797	1	hiran domain
PF15285	1	beclin-1 bh3 domain, bcl-2-interacting
PF06229	1	frg1-like domain
PF14493	1	helix-turn-helix domain
PF11721	1	malectin domain
PF08145	1	bop1nt (nuc169) domain
PF18424	1	alpha-dystroglycan n-terminal domain 2
PF05345	1	putative ig domain
PF03850	1	transcription factor tfb4
PF08153	1	ngp1nt (nuc091) domain
PF16923	1	glycosyl hydrolase family 63 n-terminal domain
PF17903	1	krr1 kh1 domain
PF17927	1	inositol 1,3,4-trisphosphate 5/6-kinase pre-atp-grasp domain
PF05770	1	inositol 1,3,4-trisphosphate 5/6-kinase atp-grasp domain
PF08064	1	ume (nuc010) domain
PF00639	1	ppic-type ppiase domain
PF16577	1	uba domain
PF09085	1	adhesion molecule, immunoglobulin-like
PF01396	1	topoisomerase dna binding c4 zinc finger
PF10252	1	casein kinase substrate phosphoprotein pp28
PF05046	1	mitochondrial large subunit ribosomal protein (img2)
PF16833	1	erythroid krueppel-like transcription factor, transactivation 2
PF12201	1	bcl2-interacting killer, bh3-domain containing
PF11640	1	telomere-length maintenance and dna damage repair
PF18051	1	26s proteasome non-atpase regulatory subunit rpn1 c-terminal
PF17781	1	rpn1 n-terminal domain
PF18569	1	thioredoxin-like domain 
PF16780	1	aimp2 lysyl-trna synthetase binding domain
PF18694	1	transactive response dna-binding protein n-terminal domain
PF19337	1	bmp and activin membrane-bound inhibitor homolog c-terminus
PF06211	1	bmp and activin membrane-bound inhibitor (bambi) n-terminal domain
PF15512	1	chromatin assembly factor complex 1 subunit p60, c-terminal
PF15557	1	caf1 complex subunit p150, region binding to pcna
PF15539	1	caf1 complex subunit p150, region binding to caf1-p60 at c-term
PF07448	1	secreted phosphoprotein 24 (spp-24) cystatin-like domain
PF09058	1	l27_1
PF08551	1	eukaryotic integral membrane protein (duf1751)
PF18428	1	brca1 c terminus (brct) domain
PF09038	1	tumour suppressor p53-binding protein-1 tudor
PF14697	1	4fe-4s dicluster domain
PF14691	1	dihydroprymidine dehydrogenase domain ii, 4fe-4s cluster
PF16837	1	pre-mrna-splicing factor sf3a3, of sf3a complex, prp9
PF12108	1	splicing factor sf3a60 binding domain
PF08625	1	utp13 specific wd40 associated domain
PF18717	1	cxc4 like cysteine cluster associated with kdz transposases
PF16716	1	bone marrow stromal antigen 2
PF13593	1	sbf-like cpa transporter family (duf4137)
PF11916	1	vacuolar protein 14 c-terminal fig4p binding
PF17292	1	pob3-like n-terminal ph domain
PF03531	1	structure-specific recognition protein (ssrp1)
PF08204	1	cd47 immunoglobulin-like domain
PF08490	1	domain of unknown function (duf1744)
PF02330	1	mitochondrial glycoprotein
PF14520	1	helix-hairpin-helix domain
PF10562	1	calmodulin-binding domain c0 of nmda receptor nr1 subunit
PF16558	1	amino-terminal zinc-binding domain of ubiquitin ligase e3a
PF16699	1	cleavage stimulation factor subunit 1, dimerisation domain
PF00436	1	single-strand binding protein family
PF02922	1	carbohydrate-binding module 48 (isoamylase n-terminal domain)
PF01242	1	6-pyruvoyl tetrahydropterin synthase
PF11699	1	mif2/cenp-c like
PF03868	1	ribosomal protein l6, n-terminal domain
PF10430	1	tie-2 ig-like domain 1
PF01775	1	ribosomal proteins 50s-l18ae/60s-l20/60s-l18a
PF16540	1	arf6-interacting domain of mitotic kinesin-like protein 1
PF09257	1	bcma, tall-1 binding
PF16726	1	inositol polyphosphate 5-phosphatase clathrin binding domain
PF10405	1	rad4 beta-hairpin domain 3
PF10404	1	rad4 beta-hairpin domain 2
PF10403	1	rad4 beta-hairpin domain 1
PF03835	1	rad4 transglutaminase-like domain
PF08066	1	pmc2nt (nuc016) domain
PF16181	1	relb transactivation domain
PF16180	1	relb leucine zipper
PF00034	1	cytochrome c
PF01250	1	ribosomal protein s6
PF15291	1	dermcidin, antibiotic peptide
PF06446	1	hepcidin
PF00882	1	zinc dependent phospholipase c
PF18001	1	interleukin-13 receptor subunit alpha ig-like domain
PF16698	1	membrane-proximal domain, switch, for adam17
PF08163	1	nuc194 domain
PF01876	1	rnase p subunit p30
PF01214	1	casein kinase ii regulatory subunit
PF06093	1	spt4/rpoe2 zinc finger
PF01466	1	skp1 family, dimerisation domain
PF01599	1	ribosomal protein s27a
PF00673	1	ribosomal l5p family c-terminus
PF00281	1	ribosomal protein l5
PF01194	1	rna polymerases n / 8 kda subunit
PF00203	1	ribosomal protein s19
PF08069	1	ribosomal s13/s15 n-terminal domain
PF00410	1	ribosomal protein s8
PF08067	1	roknt (nuc014) domain
PF03671	1	ubiquitin fold modifier 1 protein
PF00166	1	chaperonin 10 kd subunit
PF00037	1	4fe-4s binding domain
PF12109	1	cxcr4 chemokine receptor n terminal
PF02978	1	signal peptide binding domain
PF00715	1	interleukin 2
PF09440	1	eif3 subunit 6 n terminal domain
PF00121	1	triosephosphate isomerase
PF05129	1	transcription elongation factor elf1 like
PF12213	1	dna polymerases epsilon n terminal
PF08991	1	mature-t-cell proliferation i type
PF18485	1	glutathione s-transferase, n-terminal domain
PF06393	1	bh3 interacting domain (bid)
PF13341	1	rag2 phd domain
PF19444	1	mtp large subunit, lipid-binding domain
PF17387	1	glycosyl hydrolase family 59 central domain
PF12972	1	alpha-n-acetylglucosaminidase (naglu) c-terminal domain
PF12971	1	alpha-n-acetylglucosaminidase (naglu) n-terminal domain
PF05089	1	alpha-n-acetylglucosaminidase (naglu) tim-barrel domain
PF03485	1	arginyl trna synthetase n terminal domain
PF08072	1	bdhct (nuc031) domain
PF03517	1	regulator of volume decrease after cellular swelling
PF18136	1	dna mitochondrial polymerase exonuclease domain
PF02229	1	transcriptional coactivator p15 (pc4)
PF03604	1	dna directed rna polymerase, 7 kda subunit
PF08773	1	cathepsin c exclusion domain
PF14806	1	coatomer beta subunit appendage platform
PF07718	1	coatomer beta c-terminal region
PF18376	1	mevalonate 5-diphosphate decarboxylase c-terminal domain
PF15801	1	zf-mynd-like zinc finger, mrna-binding
PF16114	1	atp citrate lyase citrate-binding
PF18290	1	nudix hydrolase domain
PF09166	1	biliverdin reductase, catalytic
PF12110	1	nuclear protein 96
PF16320	1	ribosomal protein l7/l12 dimerisation domain
PF00542	1	ribosomal protein l7/l12 c-terminal domain
PF17950	1	s-adenosylmethionine decarboxylase n -terminal
PF01042	1	endoribonuclease l-psp
PF02751	1	transcription initiation factor iia, gamma subunit
PF02268	1	transcription initiation factor iia, gamma subunit, helical domain
PF12188	1	signal transducer and activator of transcription 2 c terminal
PF00393	1	6-phosphogluconate dehydrogenase, c-terminal domain
PF17121	1	zinc finger, c3hc4 type (ring finger)
PF16899	1	cyclin c-terminal domain
PF03404	1	mo-co oxidoreductase dimerisation domain
PF00174	1	oxidoreductase molybdopterin binding domain
PF09169	1	brca2, helical
PF09121	1	tower
PF09104	1	brca2, oligonucleotide/oligosaccharide-binding, domain 3
PF09103	1	brca2, oligonucleotide/oligosaccharide-binding, domain 1
PF03099	1	biotin/lipoate a/b protein ligase family
PF02237	1	biotin protein ligase c terminal domain
PF04152	1	mre11 dna-binding presumed domain 
PF00958	1	gmp synthase c terminal domain
PF12153	1	lps binding domain of cap18 (c terminal)
PF10589	1	nadh-ubiquinone oxidoreductase-f iron-sulfur binding region
PF10531	1	slbb domain
PF10599	1	retro-transposon transporting motif  
PF02947	1	flt3 ligand 
PF02403	1	seryl-trna synthetase n-terminal domain
PF05486	1	signal recognition particle 9 kda protein (srp9)
PF10490	1	rb-binding domain of kinetochore protein cenp-f/lek1
PF01916	1	deoxyhypusine synthase
PF14765	1	polyketide synthase dehydratase
PF18018	1	dna polymerase delta subunit ob-fold domain
PF19710	1	pik3 catalytic subunit gamma adaptor-binding domain
PF03917	1	eukaryotic glutathione synthase, atp binding domain
PF03199	1	eukaryotic glutathione synthase
PF18326	1	rfx5 n-terminal domain
PF14621	1	rfx5 dna-binding domain
PF04421	1	mss4 protein
PF06052	1	3-hydroxyanthranilic acid dioxygenase
PF14204	1	ribosomal l18 c-terminal region
PF18110	1	brcc36 c-terminal helical domain
PF12057	1	bcl2-associated athanogene 6
PF17981	1	cysteine rich add domain
PF17125	1	n-terminal domain of 16s rrna methyltransferase rsmf
PF07834	1	rangap1 c-terminal domain
PF18127	1	nicotinamide phosphoribosyltransferase, n-terminal domain
PF02219	1	methylenetetrahydrofolate reductase
PF18207	1	leukemia inhibitory factor receptor n-terminal domain
PF08771	1	fkbp12-rapamycin binding domain 
PF19302	1	domain of unknown function (duf5915)
PF01125	1	g10 protein
PF02024	1	leptin
PF13177	1	dna polymerase iii, delta subunit
PF16413	1	dna mismatch repair protein mlh1 c-terminus
PF17211	1	vhl box domain
PF06121	1	domain of unknown function (duf959) 
PF12820	1	serine-rich domain associated with brct
PF00923	1	transaldolase/fructose-6-phosphate aldolase
PF08983	1	domain of unknown function (duf1856)
PF08917	1	transforming growth factor beta receptor 2 ectodomain
PF02290	1	signal recognition particle 14kd protein
PF14374	1	60s ribosomal protein l4 c-terminal domain
PF00231	1	atp synthase
PF16791	1	connexin 40 c-terminal domain
PF18617	1	nucleoporin nup214 phenylalanine-glycine (fg) domain
PF14702	1	central domain of human glycogen debranching enzyme
PF14701	1	glycogen debranching enzyme, glucanotransferase domain 
PF08519	1	replication factor rfc1 c terminal domain
PF08661	1	replication factor a protein 3
PF03487	1	interleukin-13
PF01053	1	cys/met metabolism plp-dependent enzyme
PF08567	1	tfiih p62 subunit, n-terminal domain
PF09193	1	cholecystokinin a receptor, n-terminal
PF16776	1	type ii inositol 1,4,5-trisphosphate 5-phosphatase ph domain
PF02910	1	fumarate reductase flavoprotein c-term
PF01227	1	gtp cyclohydrolase i
PF10397	1	adenylosuccinate lyase c-terminus
PF06401	1	alpha-2-macroglobulin rap, c-terminal domain 
PF06400	1	alpha-2-macroglobulin rap, n-terminal domain
PF02823	1	atp synthase, delta/epsilon chain, beta-sandwich domain
PF06399	1	gtp cyclohydrolase i feedback regulatory protein (gfrp)
PF08534	1	redoxin
PF07912	1	erp29, n-terminal domain
PF07749	1	endoplasmic reticulum protein erp29, c-terminal domain
PF10420	1	cytokine interleukin-12p40 c-terminus
PF03039	1	interleukin-12 alpha subunit
PF02245	1	methylpurine-dna glycosylase (mpg)
PF12177	1	prohormone convertase enzyme
PF18121	1	tfa2 winged helix domain 2
PF02186	1	tfiie beta subunit core domain
PF02789	1	cytosol aminopeptidase family, n-terminal domain
PF13510	1	2fe-2s iron-sulfur cluster binding domain
PF10588	1	nadh-ubiquinone oxidoreductase-g iron-sulfur binding region
PF16900	1	replication protein a ob domain
PF04057	1	replication factor-a protein 1, n-terminal domain
PF04272	1	phospholamban
PF00647	1	elongation factor 1 gamma, conserved domain
PF01110	1	ciliary neurotrophic factor
PF12047	1	cytosine specific dna methyltransferase replication foci domain
PF00306	1	atp synthase alpha/beta chain, c terminal domain
PF10570	1	myelin-po cytoplasmic c-term p65 binding region
PF04992	1	rna polymerase rpb1, domain 6
PF04990	1	rna polymerase rpb1, domain 7
PF01451	1	low molecular weight phosphotyrosine protein phosphatase
PF09238	1	interleukin-4 receptor alpha chain, n-terminal
PF03477	1	atp cone domain
PF00317	1	ribonucleotide reductase, all-alpha domain
PF07650	1	kh domain
PF00189	1	ribosomal protein s3, c-terminal domain
PF02347	1	glycine cleavage system p-protein
PF01212	1	beta-eliminating lyase
PF17869	1	anosmin cysteine rich domain
PF05181	1	xpa protein c-terminus
PF01286	1	xpa protein n-terminal
PF00762	1	ferrochelatase
PF00731	1	air carboxylase
PF02844	1	phosphoribosylglycinamide synthetase, n domain
PF02843	1	phosphoribosylglycinamide synthetase, c domain
PF01071	1	phosphoribosylglycinamide synthetase, atp-grasp (a) domain
PF13534	1	4fe-4s dicluster domain
PF13085	1	2fe-2s iron-sulfur cluster binding domain
PF02872	1	5'-nucleotidase, c-terminal domain
PF02404	1	stem cell factor
PF07400	1	interleukin 11
PF02284	1	cytochrome c oxidase subunit va
PF09040	1	gastric h+/k+-atpase, n terminal domain
PF07831	1	pyrimidine nucleoside phosphorylase c-terminal domain
PF02885	1	glycosyl transferase family, helical bundle domain
PF16203	1	ercc3/rad25/xpb c-terminal helicase
PF13625	1	helicase conserved c-terminal domain
PF03871	1	rna polymerase rpb5, n-terminal domain
PF01191	1	rna polymerase rpb5, c-terminal domain
PF01247	1	ribosomal protein l35ae
PF06777	1	helical and beta-bridge domain
PF10580	1	gap junction protein n-terminal region
PF09298	1	fumarylacetoacetase n-terminal
PF18447	1	fibronectin type iii domain
PF02870	1	6-o-methylguanine dna methyltransferase, ribonuclease-like domain
PF01035	1	6-o-methylguanine dna methyltransferase, dna binding domain
PF18635	1	epithelial cell adhesion molecule n-terminal domain
PF13364	1	beta-galactosidase jelly roll domain
PF10426	1	recombination-activating protein 1 zinc-finger domain
PF14554	1	vegf heparin-binding domain
PF03951	1	glutamine synthetase, beta-grasp domain
PF19536	1	pou domain, class 2, transcription factor 1 c-terminal
PF18707	1	interleukin-2 receptor subunit beta n-terminal domain 1
PF02270	1	tfiif, beta subunit hth domain
PF00766	1	electron transfer flavoprotein fad-binding domain
PF00490	1	delta-aminolevulinic acid dehydratase
PF14396	1	cystic fibrosis tm conductance regulator (cftr), regulator domain
PF01415	1	interleukin 7
PF08785	1	ku c terminal domain like
PF02747	1	proliferating cell nuclear antigen, c-terminal domain
PF00705	1	proliferating cell nuclear antigen, n-terminal domain
PF08999	1	surfactant protein c, n terminal propeptide
PF02436	1	conserved carboxylase domain
PF09036	1	bcr-abl oncoprotein oligomerisation domain
PF00215	1	orotidine 5'-phosphate decarboxylase / humps family
PF00756	1	putative esterase
PF18434	1	kazal-type serine protease inhibitor domain
PF01215	1	cytochrome c oxidase subunit vb
PF16647	1	granulocyte colony-stimulating factor
PF08996	1	dna polymerase alpha zinc finger
PF08063	1	padr1 (nuc008) domain
PF05337	1	macrophage colony stimulating factor-1 (csf-1)
PF02059	1	interleukin-3
PF03900	1	porphobilinogen deaminase, c-terminal domain
PF01379	1	porphobilinogen deaminase, dipyromethane cofactor binding domain
PF13537	1	glutamine amidotransferase domain
PF00703	1	glycosyl hydrolases family 2
PF18422	1	tumor necrosis factor receptor member 16 trans-membrane domain
PF10413	1	amino terminal of the g-protein receptor rhodopsin
PF10415	1	fumarase c c-terminus
PF17813	1	ret cadherin like domain 4
PF17812	1	ret cadherin like domain 3
PF17756	1	ret cadherin like domain 1
PF02744	1	galactose-1-phosphate uridyl transferase, c-terminal domain
PF01087	1	galactose-1-phosphate uridyl transferase, n-terminal domain
PF09180	1	prolyl-trna synthetase, c-terminal
PF16681	1	ig-like domain on t-cell surface glycoprotein cd3 epsilon chain
PF10583	1	involucrin of squamous epithelia n-terminus
PF09026	1	centromere protein b dimerisation domain
PF16276	1	nucleophosmin c-terminal domain
PF00342	1	phosphoglucose isomerase
PF17870	1	insulin receptor trans-membrane segment
PF01208	1	uroporphyrinogen decarboxylase (uro-d)
PF09272	1	hepsin, srcr domain
PF00489	1	interleukin-6/g-csf/mgf family
PF18140	1	propionyl-coenzyme a carboxylase bt domain
PF02025	1	interleukin 5
PF00727	1	interleukin 4
PF00303	1	thymidylate synthase
PF18613	1	tyrosine kinase receptor a trans-membrane domain
PF14698	1	argininosuccinate lyase c-terminal
PF09307	1	clip, mhc2 interacting
PF08831	1	class ii mhc-associated invariant chain trimerisation domain
PF02777	1	iron/manganese superoxide dismutases, c-terminal domain
PF00081	1	iron/manganese superoxide dismutases, alpha-hairpin domain
PF01109	1	granulocyte-macrophage colony-stimulating factor
PF02740	1	colipase, c-terminal domain
PF01114	1	colipase, n-terminal domain
PF09172	1	domain of unknown function (duf1943)
PF17189	1	glycosyl hydrolase family 30 beta sandwich domain
PF02055	1	glycosyl hydrolase family 30 tim-barrel domain
PF00199	1	catalase
PF18453	1	oligomerization domain of c4b-binding protein alpha
PF12743	1	oestrogen-type nuclear receptor final c-terminal 
PF09164	1	vitamin d binding protein, domain iii
PF00576	1	hiuase/transthyretin family
PF09014	1	beta-2-glycoprotein-1 fifth domain
PF12160	1	fibrinogen alpha c domain
PF12104	1	t cell cd4 receptor c terminal region
PF09191	1	cd4, extracellular
PF00714	1	interferon gamma
PF00236	1	glycoprotein hormone
PF00119	1	atp synthase a chain
PF09396	1	thrombin light chain
PF01842	1	act domain
PF00116	1	cytochrome c oxidase subunit ii, periplasmic domain
PF00033	1	cytochrome b/b6/petb
PF00032	1	cytochrome b(c-terminal)/b6/petd
PF02597	1	this family
PF02971	1	formiminotransferase domain
PF08231	1	syf2 splicing factor
PF14721	1	apoptosis-inducing factor, mitochondrion-associated, c-term
PF17408	1	malonyl-coa decarboxylase n-terminal domain
PF05292	1	malonyl-coa decarboxylase c-terminal domain
PF18972	1	cns1/ttc4 wheel domain
PF19428	1	semaphorin 4f c-terminal
PF02545	1	maf-like protein
PF14570	1	ring/ubox like zinc-binding domain
